bhk,rent,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,id
2,23000,1100,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,a2092f63
2,12000,1100,1 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,e2a1a159
2,7500,450,Ground out of 2,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,d12a2656
3,15000,100,3 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,f929e7b4
1,30000,550,2 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,c2145e33
1,6300,360,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,579886ea
3,80000,300,1 out of 3,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,023c1475
2,14000,1065,1 out of 2,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,c55c5086
2,17000,1000,3 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,eaa67f3a
1,9000,450,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,d98a8301
1,25000,380,3 out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,6229d318
1,22000,500,3 out of 4,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,ee176776
3,30000,1800,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,c5fe3345
2,75000,750,4 out of 13,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,b9add705
2,45000,1000,2 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,55f21e37
2,29000,670,7 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Owner,62634625
2,14000,700,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,7513f90f
2,13000,1000,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,896c6bf7
2,10000,1100,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,0aa4bbc6
3,50000,1600,2 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,bba42333
1,9000,890,4 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner,35cbbf9f
3,21000,1360,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,27443871
2,9500,640,Ground out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4ac9c774
2,12500,500,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,71c0186a
4,80000,3000,1 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors,4,Contact Agent,f3238910
1,9500,400,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,c4b2c576
3,45000,1800,2 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent,c5aa7a64
2,10000,910,Ground out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,a488aa5c
1,6000,700,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,106bafdc
2,7000,800,Ground out of 1,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,305335ad
2,55000,720,8 out of 20,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,b2029ba5
2,22000,1200,4 out of 8,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,38f6567c
1,35000,350,2 out of 3,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,6185b6dc
1,10000,800,1 out of 1,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,9fb005ca
1,12000,400,3 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,d0ee345e
3,30000,1500,1 out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4aa83fb5
2,12000,870,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,ae7e8cfb
3,22000,3000,3 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2f5c5528
2,9500,650,3 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,eb5d1095
3,42000,2671,2 out of 14,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,65e32ffe
3,23382,1500,1 out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,84b28e67
3,20000,1800,2 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner,d50a9e7d
2,10000,670,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2f6ff2c2
1,8000,550,2 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,d720574c
3,35000,1300,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,caaa9552
2,13000,1200,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,75abd509
1,7000,650,3 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,7e1c626d
2,12000,1100,2 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2d09e154
3,20000,1350,Ground out of 1,Super Area,Chennai,Furnished,Bachelors,3,Contact Owner,7da83eba
3,22000,1800,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,7499c8e5
2,15000,1200,1 out of 1,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,d1c2fc68
2,12000,780,3 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,96107a39
3,60000,1850,3 out of 3,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,f37be93b
2,18500,1080,3 out of 12,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,dfe0d2c4
3,44000,1700,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,2fb957b8
2,12000,939,3 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,526a33f6
3,40000,1350,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,b91b385f
3,42000,1700,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,c351bee6
2,16500,1050,Ground out of 2,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,c77be4d7
2,55000,700,10 out of 11,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,7325068e
2,39000,630,6 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,efe76deb
2,36000,1100,1 out of 5,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,94915311
2,18000,1150,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent,2c357e38
2,42000,1150,2 out of 4,Carpet Area,Bangalore,Furnished,Bachelors,2,Contact Agent,e78e1c8a
3,60000,1710,6 out of 18,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,3,Contact Agent,08a792dc
2,35000,650,5 out of 8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,9b41f9c0
3,130000,1330,11 out of 51,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,8e6b8a73
3,80000,1700,1 out of 4,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,027eb8a9
2,10000,900,1 out of 1,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3e1cf3ad
3,170000,1300,5 out of 8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,b246c749
2,35000,550,7 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,6d40f903
3,34000,1500,2 out of 14,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,51cbb9be
3,45000,1645,8 out of 19,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,77c929d4
3,220000,1550,30 out of 37,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,d449b25b
2,65000,700,5 out of 7,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,2e0ab5b3
3,16000,100,2 out of 3,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,905a8f8b
4,200000,1900,5 out of 11,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,0c026679
2,16500,1100,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,c931410b
3,30000,1940,1 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner,04d07aca
3,140000,1064,7 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,d8e4bbea
1,6000,500,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,e5658cf3
3,120000,2390,3 out of 17,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,1b5d2e04
3,70000,1800,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,dcaf40c6
3,85000,2600,8 out of 18,Carpet Area,Bangalore,Semi-Furnished,Family,4,Contact Agent,a90159cc
2,15000,450,4 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,bcd6b053
2,11000,1000,Ground out of 1,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,275dc656
3,70000,1520,23 out of 25,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,f224109e
2,19500,1080,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,c255e4e0
3,28000,1600,1 out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,72f8ca1a
2,48000,700,8 out of 15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,d9fce172
2,85000,850,1 out of 8,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,75d2a5a3
2,30000,1350,5 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent,3ed54b86
3,180000,1550,22 out of 24,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,bc3f9e23
3,35000,1460,6 out of 12,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,ce724251
3,45000,1500,23 out of 34,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Agent,6c3ed1d2
2,16000,1350,3 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,6e60bad3
2,45002,600,9 out of 17,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,53c53c5d
3,57000,1838,4 out of 30,Super Area,Hyderabad,Unfurnished,Bachelors,3,Contact Agent,65fbca9d
3,280000,2800,6 out of 30,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,6f5067fe
3,22000,1300,1 out of 3,Super Area,Chennai,Semi-Furnished,Family,3,Contact Owner,8b270ac2
2,13000,500,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,87cbab2a
3,84500,889,7 out of 27,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,435dda8a
1,9000,600,1 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent,252d5208
1,35000,480,1 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,f350d780
1,26000,434,5 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,e114de9e
1,30000,360,4 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,cc7b8755
1,5000,450,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,ec2dd2d6
1,26000,450,9 out of 20,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,fe8b2aaa
6,80000,4500,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,6,Contact Owner,6f6e2d37
3,85000,920,4 out of 13,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent,06610fa0
3,45000,3200,1 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,757bd29e
2,16000,770,1 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4571277f
2,16000,2000,Ground out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9e0ebc27
1,25000,444,7 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,d4e1aca5
2,79500,750,17 out of 20,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,042338d4
2,15000,1280,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,c1ffe584
1,6000,300,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,cbba4cb7
1,5000,300,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,0d9f7ddd
2,85000,1200,36 out of 45,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,6077ad2b
2,20000,1000,4 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,f151e937
4,260000,2046,22 out of 52,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,3fc863d5
2,43000,771,15 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7fcdb7ba
2,45000,660,25 out of 43,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,bca210f8
1,11000,550,4 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,539ab7d3
2,49500,650,5 out of 16,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,9521e2bc
2,15000,1800,Ground out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,6980c2c6
3,80000,1800,10 out of 13,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,952b1d3c
2,20000,1000,2 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,e970b3cc
3,90000,967,14 out of 33,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,c11226c5
2,60000,888,5 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,a2f3223b
2,45000,771,20 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,a7ddd391
4,140000,3789,9 out of 22,Carpet Area,Hyderabad,Semi-Furnished,Family,5,Contact Agent,1ab82a42
2,130000,700,7 out of 10,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,22a366e5
3,45000,985,Lower Basement out of 18,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent,cad61ca1
2,25000,1040,2 out of 4,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,110758e6
2,17000,855,4 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Agent,46311489
2,65000,805,48 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,2b348a80
3,98000,1233,35 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,0cf950b5
2,45000,650,5 out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,02f84308
2,40000,753,11 out of 31,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,9bda887d
2,80000,670,5 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,97e3d7dd
3,30000,1700,6 out of 13,Super Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,f0fd2600
2,50000,751,16 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,789ef3d6
3,75000,1088,16 out of 37,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,6c201efa
3,60000,2405,10 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Agent,5ee21794
4,300000,2650,14 out of 48,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,00fd4b45
3,65000,2700,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,3371140c
3,90100,975,29 out of 35,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,cf757995
1,7500,850,3 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Agent,e3583875
1,7500,650,2 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Agent,43830351
2,12000,1000,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,09ef09e8
6,30000,4200,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,5,Contact Owner,4f2495d9
2,17000,1000,5 out of 5,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,489c29fb
2,9000,1050,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,740c18cc
1,6500,600,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,fc44a289
2,95000,955,34 out of 40,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,30b601f0
3,260000,1915,8 out of 23,Super Area,Mumbai,Semi-Furnished,Family,4,Contact Agent,0fb0a8a6
2,45000,750,2 out of 8,Super Area,Mumbai,Furnished,Bachelors,2,Contact Owner,f8997252
4,90000,1250,2 out of 7,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent,72028022
3,130000,960,9 out of 21,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,ef9cb1ab
2,15000,1200,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,bf956e8a
2,12000,950,4 out of 4,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,9306b9bf
2,17000,1100,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,5a13ee71
2,50000,600,9 out of 11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0d87fbcb
2,70000,660,Ground out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,8e3c07a1
2,77500,724,19 out of 21,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,3eac69f4
3,60000,2080,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Family,3,Contact Owner,026db829
2,12000,800,1 out of 1,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,ce81e9fd
4,260000,2500,3 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,07127c67
2,25000,1100,2 out of 2,Super Area,Kolkata,Furnished,Bachelors,2,Contact Agent,934385f5
3,50000,1250,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,df888673
2,38000,1274,9 out of 32,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,458b8e13
3,12000,800,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,e993215b
2,45000,1350,20 out of 35,Carpet Area,Hyderabad,Furnished,Bachelors,2,Contact Agent,eb782cb3
4,400000,7000,Lower Basement out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,6,Contact Agent,05d9cde9
3,52000,1603,26 out of 32,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,58000b8f
2,51000,985,7 out of 15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,49ca4919
3,10000,1100,1 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent,dd4571bd
3,60000,1550,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,0ec37ec6
3,43000,1680,4 out of 9,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,084b3af4
4,130000,4341,9 out of 15,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,431f6b7d
2,25000,1200,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,19768308
1,9000,900,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,c7131fc2
1,14000,540,1 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Agent,d0ac2dfa
3,30000,1700,19 out of 26,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,739adce0
1,32000,400,3 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,ca29faea
2,9000,160,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2a298971
3,46000,2235,Ground out of 10,Carpet Area,Hyderabad,Unfurnished,Family,5,Contact Agent,aa1b6ac9
2,48000,670,4 out of 16,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Owner,339e2ebc
3,130000,1500,7 out of 12,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent,7d9f2b80
2,10000,1000,1 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,7b9247df
2,20000,1000,1 out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,c6b2f07c
3,15000,2000,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,bafde46b
1,45000,500,9 out of 16,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,0bab1dd8
2,45000,650,10 out of 18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,8d93c9b0
2,30000,1296,9 out of 22,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,adefdf1d
1,20000,550,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,db80b5b3
2,6500,920,Ground out of 27,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,a180152c
3,37000,1700,Ground out of 15,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,42e63f0b
2,12000,1600,1 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,43bc63c6
3,25000,1545,4 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,cc28c96e
1,22000,450,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,49820f6f
3,50000,1742,11 out of 35,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,90ec36d0
2,12000,1100,2 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,22b1e963
3,23000,1900,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,31f18ad5
2,78000,600,14 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,62f6479a
2,45000,670,17 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,0fa6bca2
3,50000,2000,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,9a6aa8b8
3,45000,1680,7 out of 19,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,731df0fc
3,65000,2000,23 out of 40,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,89591692
3,150000,1300,6 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,a8833c75
1,12000,500,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,a867de00
2,8500,720,4 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,5a5b0f9b
3,98000,1233,14 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,fbdd85a9
1,14000,550,1 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Agent,52dd45cb
3,42000,2000,4 out of 17,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,717de6b9
2,68000,805,12 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,7d5e6660
3,45000,1742,24 out of 33,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,2196d2f7
3,43000,1700,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,1c1cebfb
3,9000,1100,1 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent,fdd26569
3,8000,1100,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent,2238a057
1,20000,800,Ground out of 5,Carpet Area,Bangalore,Semi-Furnished,Family,1,Contact Agent,a0b99558
3,35000,1800,1 out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,d27296c8
1,7000,400,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,ba25a89e
2,40000,755,12 out of 31,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,83b84c4e
1,7000,500,2 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,fc27fbae
2,62000,806,3 out of 58,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,fa5b7e29
3,130000,1250,12 out of 29,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,3c19eb29
2,30000,1100,Ground out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,12d9b057
3,35000,1725,2 out of 13,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,d725791f
3,29000,1225,9 out of 18,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,b7fcce49
3,46000,1700,15 out of 18,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,cd0d2ad1
2,14000,890,2 out of 2,Super Area,Chennai,Unfurnished,Family,2,Contact Owner,453c4ef6
2,7000,600,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,6e75d23a
3,38000,1496,10 out of 15,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent,b53209f0
2,15000,1200,1 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,60c0ffce
3,47500,1920,6 out of 15,Super Area,Chennai,Semi-Furnished,Family,3,Contact Agent,be927db2
3,130000,3500,3 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,6c95fbde
2,14000,1374,2 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,acfd9d1c
