posted_on,bhk,rent,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact
2022-05-12,2,15000,1100,2 out of 4,Super Area,Old Bowenpally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,13000,600,2 out of 3,Super Area,"Banjara Hills, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,8500,450,Ground out of 1,Super Area,"Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12000,1500,Ground out of 3,Super Area,Akhilandeswari Nagar,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12000,100,Ground out of 3,Super Area,"Narsingi, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12000,900,2 out of 4,Super Area,Bandlaguda Jagir,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12000,647,2 out of 3,Super Area,Moti Nagar,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,30000,2400,Ground out of 3,Super Area,Uthandi,Chennai,Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,12000,800,2 out of 3,Super Area,Manikandan Nagar,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,15000,450,2 out of 3,Super Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,14000,930,5 out of 5,Super Area,Langar Houz,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,16000,1050,1 out of 2,Carpet Area,Suchitra Circle,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,25000,1600,4 out of 5,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,18000,970,Ground out of 3,Super Area,Thoraipakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,700,3 out of 4,Super Area,Old Nallakunta,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,5000,350,2 out of 3,Super Area,Attapur,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,20000,850,Ground out of 4,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,11000,550,3 out of 5,Carpet Area,New Ashok Nagar,Delhi,Unfurnished,Bachelors,2,Contact Agent
2022-05-12,1,5000,450,Ground out of 1,Super Area,"Siriti, Tollygunge",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,1200,1 out of 3,Super Area,Pallikaranai,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,6000,350,Ground out of 2,Super Area,"Tambaram, GST Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,650,Ground out of 3,Carpet Area,"Fateh Nagar, Janakpuri",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,1200,Ground out of 1,Super Area,Upperpally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,6000,400,1 out of 2,Super Area,Meerpet,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,600,1 out of 2,Super Area,"Khaja Guda, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,5,25000,1880,2 out of 2,Carpet Area,Dashdrone,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-05-12,2,10000,950,2 out of 3,Super Area,Anakaputhur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,15000,1250,2 out of 3,Super Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,20000,1000,2 out of 6,Super Area,Toli Chowki,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-12,1,6500,650,Ground out of 3,Super Area,"Quthbullapur, NH 7",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,22000,1840,3 out of 6,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,12000,1100,5 out of 6,Super Area,Serilingampally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,6500,160,Ground out of 1,Super Area,"Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,9000,450,2 out of 4,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-12,2,13000,800,2 out of 3,Super Area,Qutub Shahi Tombs,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,800,Ground out of 3,Super Area,Sainikpuri,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,15000,2000,Ground out of 1,Super Area,"Bongloor, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,1,10000,850,Ground out of 1,Super Area,Madambakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,9000,750,2 out of 5,Super Area,Balanagar,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,20000,1650,3 out of 5,Super Area,"Pocharam, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,24000,1700,1 out of 5,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-05-12,2,16000,1050,2 out of 2,Carpet Area,Suchitra Circle,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,9500,1000,1 out of 2,Super Area,Old Washermanpet,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,4,65000,3200,18 out of 19,Carpet Area,Kothanur,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-12,2,30000,1100,2 out of 5,Carpet Area,Hsr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-12,2,13000,890,1 out of 2,Carpet Area,Oliyas Green court,Chennai,Unfurnished,Bachelors,2,Contact Owner
2022-05-12,2,8000,1100,2 out of 3,Super Area,"Uppal, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,15000,700,1 out of 2,Super Area,Thirumullaivoyal,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12500,1100,2 out of 3,Super Area,Bandlaguda Jagir,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,8500,1060,2 out of 5,Super Area,Dammaiguda,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,1300,2 out of 4,Super Area,"Safilguda, Secunderabad",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,4,10000,100,1 out of 3,Super Area,Old Nallakunta,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,900,1 out of 3,Super Area,Jagadgiri Gutta,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,11000,1200,2 out of 3,Super Area,BHEL,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,20000,1800,3 out of 4,Super Area,"Banjara Hills, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,15000,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,950,Ground out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12500,1250,1 out of 2,Super Area,Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
2022-05-12,2,15000,750,1 out of 3,Super Area,Hutchins Road,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12500,1000,3 out of 4,Super Area,"Upparpally, Hyderabad Expressway",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,9500,1200,Ground out of 2,Super Area,Tarnaka,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,8500,500,2 out of 3,Super Area,"Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,14000,1100,Ground out of 4,Super Area,Mehdipatnam,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,13000,650,Ground out of 3,Super Area,"Kattupakkam, PH Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,6000,750,1 out of 2,Super Area,"Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,8000,450,3 out of 3,Super Area,Puppalaguda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,650,2 out of 3,Super Area,Ponniammanmedu,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,7500,400,2 out of 3,Super Area,"Kukatpally, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,60000,430,1 out of 7,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-05-12,2,18000,1150,4 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,5400,450,1 out of 2,Super Area,Jeedimetla,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,12000,650,1 out of 2,Super Area,Begumpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,5500,40,Ground out of 2,Super Area,Jagadgiri Gutta,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,1000,2 out of 4,Super Area,Hyderguda,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,8000,800,Ground out of 2,Super Area,Gopanapalli,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,7000,300,1 out of 3,Super Area,"Khairatabad, NH 7",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,1800,500,Ground out of 1,Super Area,Shyam Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,30000,1400,2 out of 4,Carpet Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,7000,800,Ground out of 1,Super Area,Rampally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,5500,67,Ground out of 1,Super Area,Jagadgiri Gutta,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,16000,800,1 out of 3,Super Area,Thiruvanmiyur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,8000,500,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,5000,500,2 out of 3,Super Area,"Peerzadiguda, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,8000,800,1 out of 3,Super Area,Poonamalle,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,7500,500,2 out of 3,Super Area,"Janachaitanya colony, Hyderabad Expressway",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,10500,500,Ground out of 4,Super Area,Kothapet,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,14000,800,Ground out of 3,Super Area,"Kukatpally, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,16000,1650,Ground out of 3,Super Area,Kapra,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,5500,500,Ground out of 3,Super Area,Vikas Nagar-Bandlaguda Jagir,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,17000,1200,2 out of 2,Super Area,"Maruthi Nagar-Yelahanka, Yelahanka",Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,15000,850,3 out of 5,Super Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,11000,750,3 out of 5,Super Area,Fathenagar,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,20000,1200,2 out of 4,Super Area,"Abids, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,7500,800,2 out of 4,Super Area,Meerpet,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,25000,1200,1 out of 6,Super Area,Vijay nagar colony m,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,6,35000,3400,Ground out of 2,Super Area,Rampally,Hyderabad,Unfurnished,Bachelors/Family,7,Contact Owner
2022-05-12,2,11000,90,Ground out of 5,Super Area,Shaikpet,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,50000,900,1 out of 8,Carpet Area,Yashodham,Mumbai,Furnished,Family,2,Contact Agent
2022-05-12,3,75000,1850,6 out of 11,Carpet Area,"Jaya Nagar Block 8, Jayanagar",Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-12,3,7000,900,1 out of 2,Super Area,Ayappakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,8000,800,Ground out of 2,Super Area,Adikmet,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,5000,650,2 out of 3,Super Area,Balanagar,Hyderabad,Unfurnished,Family,2,Contact Owner
2022-05-12,1,8000,300,4 out of 4,Super Area,"Mallepally, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,35000,1012,2 out of 3,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,15000,1000,1 out of 3,Carpet Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors,2,Contact Owner
2022-05-12,2,16000,400,Ground out of 2,Super Area,Old Bowenpally,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,8000,800,1 out of 2,Super Area,Kayarambedu,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,8500,55,Ground out of 3,Super Area,Gharoli,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,12000,800,1 out of 3,Super Area,"Purasawalkam, PH Road",Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,12500,450,2 out of 3,Carpet Area,Patel Nagar West,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2022-05-12,2,7500,950,1 out of 2,Super Area,Kothapet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,27000,1550,2 out of 3,Super Area,Alwarpet,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,14000,1300,1 out of 2,Super Area,Iyyappanthangal,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,950,1 out of 2,Super Area,Selaiyur,Chennai,Unfurnished,Family,2,Contact Owner
2022-05-12,2,12000,756,Ground out of 3,Carpet Area,Dashadron Newtown Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,1200,2 out of 3,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,14000,1100,Ground out of 3,Super Area,"Old Malakpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,14000,1000,1 out of 3,Super Area,Kanathur Reddikuppam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,15000,1500,Ground out of 1,Super Area,Madanankppam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12000,600,1 out of 3,Super Area,Mangadu,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,7000,400,1 out of 3,Super Area,Koyambedu,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,9000,770,1 out of 2,Super Area,"Tambaram, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,20000,600,1 out of 2,Super Area,"Egmore, PH Road",Chennai,Unfurnished,Family,1,Contact Owner
2022-05-12,1,6500,500,1 out of 3,Super Area,Velachery,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,6500,250,Ground out of 5,Super Area,Adambakkam,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,6000,600,1 out of 3,Super Area,Poonamallee,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,7000,450,1 out of 2,Super Area,Pammal,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,18000,1200,5 out of 6,Super Area,Chanda Nagar,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,8000,150,Ground out of 1,Super Area,Osman Nagar,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,15000,192,2 out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,3,35000,3050,Ground out of 2,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,7500,800,2 out of 4,Super Area,"Pragathi Nagar, Kukatpally",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,9000,950,2 out of 3,Super Area,Chanda Nagar,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,15000,850,Ground out of 2,Super Area,Old Mahabalipuram Road,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,11000,550,3 out of 4,Super Area,Poongavanapuram,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,3000,350,1 out of 2,Super Area,Ennore,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,18000,1300,3 out of 3,Super Area,"Lakdikapul, NH 9",Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
2022-05-12,3,12000,1200,3 out of 4,Super Area,Santosh Nagar,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,1,8000,450,Ground out of 3,Super Area,"Somajiguda, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,20000,1000,Ground out of 1,Super Area,Thiruvanmiyur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,1100,Ground out of 2,Super Area,Kapra,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,15000,1450,2 out of 4,Super Area,Nagole,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,3300,200,Ground out of 2,Super Area,Moula Ali,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,6500,500,2 out of 3,Super Area,"Aminjikarai, PH Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,12000,400,1 out of 3,Super Area,Besant Nagar,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2022-05-13,2,40000,650,12 out of 19,Carpet Area,Mulund West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-05-13,3,190000,1500,8 out of 10,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-13,2,6500,550,Ground out of 1,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-13,1,50000,410,6 out of 12,Carpet Area,Dadar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-13,2,40000,750,1 out of 4,Carpet Area,New Rajendra Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-13,1,23000,420,5 out of 7,Carpet Area,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-13,2,54500,758,12 out of 24,Carpet Area,"L&T Emerald Isle, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-13,2,14500,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-05-13,1,8000,281,Ground out of 1,Carpet Area,Thiruvanmiyur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-13,1,3500,250,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-13,1,50000,2200,2 out of 5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
2022-05-13,2,11000,650,2 out of 2,Super Area,Kodambakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-13,1,14000,420,1 out of 1,Carpet Area,Mambalam West,Chennai,Unfurnished,Bachelors,1,Contact Owner
2022-05-13,2,20000,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-13,1,9000,450,1 out of 3,Super Area,"Chandulal bela colony, shahalibanda",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-13,1,5000,300,Ground out of 1,Carpet Area,Barrackpore,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2022-05-13,2,37000,685,10 out of 18,Carpet Area,Mulund West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-13,1,29999,433,8 out of 20,Carpet Area,"Altavista, Sion Trombay Road",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-13,3,77000,1100,16 out of 21,Carpet Area,"Auris Serenity, Adarsh Nagar",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
2022-05-13,2,33500,700,4 out of 7,Carpet Area,"Yogi Hills, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-13,2,10000,450,1 out of 4,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-13,3,22000,1400,3 out of 4,Carpet Area,Chembarambakkam,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-13,2,9000,700,3 out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-13,2,30000,710,12 out of 21,Carpet Area,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-14,2,16000,805,5 out of 6,Carpet Area,"Mallasandra, Jalahalli West",Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,2,95000,825,17 out of 22,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,Bachelors,2,Contact Agent
2022-05-14,2,15000,1050,1 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,1,55000,550,13 out of 14,Carpet Area,"Paschim Apartments, Prabhadevi",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-14,1,5000,500,Ground out of 3,Super Area,Peenya 2nd Stage,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,8000,416,19 out of 20,Super Area,Kengeri Hobli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,32000,470,6 out of 7,Carpet Area,Central Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-05-14,1,9000,65,3 out of 4,Super Area,Lado Sarai,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,2,13000,720,2 out of 4,Super Area,Govindpuri Main,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,3,30000,2000,1 out of 1,Super Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-14,3,55000,1800,1 out of 3,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-14,1,11000,350,2 out of 5,Super Area,Sheikh Sarai,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,3,30000,1425,Ground out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,3,25000,96,2 out of 5,Super Area,Rohini Sector 11,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-14,2,35000,700,5 out of 8,Carpet Area,"MUKTA MAHEK, Thakur Complex",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-14,1,5000,400,1 out of 2,Super Area,Vaderahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,2,9000,450,1 out of 3,Super Area,"Shakarpur Khas, Shakarpur",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,27000,550,4 out of 7,Carpet Area,Borivali West,Mumbai,Furnished,Family,2,Contact Owner
2022-05-14,3,23000,1700,2 out of 5,Super Area,Hyderabad,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-14,1,6000,300,1 out of 2,Super Area,Abbigere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,7500,500,2 out of 3,Super Area,Hyderguda,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-14,3,17681,1110,3 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,4,150000,1460,11 out of 13,Carpet Area,"Insignia, Bandra East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-05-14,2,25000,1200,5 out of 12,Super Area,Yelahanka,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,3,25000,1500,5 out of 10,Carpet Area,"DJA Apartments, Dwarka Sector 13",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-14,1,5000,500,Ground out of 3,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,2,15000,700,1 out of 3,Super Area,Dwarka,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,7500,200,2 out of 4,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-05-14,2,40000,700,2 out of 6,Carpet Area,Sher E Punjab Society,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-14,2,10000,500,3 out of 3,Super Area,Vinod Nagar East,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
